"Gene_Name"	"MutRat_Raw"
"A2ML1"	2.32558139534884
"AACS"	0
"AATF"	1.16279069767442
"ABCA1"	0
"ABCA12"	1.16279069767442
"ABCA13"	1.16279069767442
"ABCA2"	1.16279069767442
"ABCA7"	0
"ABCB11"	1.16279069767442
"ABCB5"	1.16279069767442
"ABCC11"	2.32558139534884
"ABCC3"	1.16279069767442
"ABCC6"	2.32558139534884
"ABCC8"	0
"ABCC9"	1.16279069767442
"ABCD2"	1.16279069767442
"ABCD4"	1.16279069767442
"ABCF1"	1.16279069767442
"ABHD3"	1.16279069767442
"ABI1"	1.16279069767442
"ABL1"	0
"ABLIM1"	0
"ABLIM3"	1.16279069767442
"AC020922.1"	0
"AC022616.1"	0
"AC074389.6"	1.16279069767442
"AC136604.1"	1.16279069767442
"ACACB"	1.16279069767442
"ACADS"	1.16279069767442
"ACAP1"	1.16279069767442
"ACBD5"	0
"ACCSL"	0
"ACER1"	0
"ACOT9"	1.16279069767442
"ACP3"	1.16279069767442
"ACSL1"	2.32558139534884
"ACSL3"	1.16279069767442
"ACTG1"	2.32558139534884
"ACTN2"	1.16279069767442
"ACTN4"	1.16279069767442
"ACVR2B"	0
"ACVRL1"	1.16279069767442
"ADA"	0
"ADAM2"	1.16279069767442
"ADAM21"	0
"ADAM23"	1.16279069767442
"ADAM33"	1.16279069767442
"ADAMTS14"	0
"ADAMTS16"	1.16279069767442
"ADAMTS17"	1.16279069767442
"ADAMTS18"	1.16279069767442
"ADAMTS19"	3.48837209302326
"ADAMTS2"	1.16279069767442
"ADAMTS3"	0
"ADAMTS4"	0
"ADAMTS9"	1.16279069767442
"ADAMTSL4"	1.16279069767442
"ADARB1"	1.16279069767442
"ADCY2"	1.16279069767442
"ADCY4"	1.16279069767442
"ADCY5"	1.16279069767442
"ADCY7"	1.16279069767442
"ADD3"	1.16279069767442
"ADGB"	2.32558139534884
"ADH6"	0
"ADNP"	1.16279069767442
"ADNP2"	1.16279069767442
"ADPRM"	1.16279069767442
"ADRA1B"	0
"ADRB3"	0
"GRK2"	0
"ADSL"	1.16279069767442
"ADSS2"	1.16279069767442
"ADSS1"	1.16279069767442
"ADTRP"	0
"AEBP1"	0
"AFF3"	2.32558139534884
"AFP"	1.16279069767442
"AGBL1"	0
"AGBL2"	1.16279069767442
"AGL"	1.16279069767442
"AGO3"	1.16279069767442
"AGPAT1"	0
"AGPAT4"	0
"AGXT2"	0
"AHI1"	1.16279069767442
"AHNAK2"	3.48837209302326
"AICDA"	0
"CRYBG1"	1.16279069767442
"AIPL1"	0
"AJUBA"	1.16279069767442
"AKAP11"	1.16279069767442
"AKAP13"	1.16279069767442
"AKAP4"	1.16279069767442
"AKAP8"	1.16279069767442
"AKAP9"	1.16279069767442
"AKIP1"	0
"AKR1B15"	1.16279069767442
"AL590714.1"	0
"ALAD"	1.16279069767442
"ALDH1L2"	1.16279069767442
"ALDH8A1"	1.16279069767442
"ALG10"	1.16279069767442
"ALG12"	0
"ALG13"	1.16279069767442
"ALG6"	1.16279069767442
"ALK"	1.16279069767442
"ALMS1P1"	0
"ALOX5"	2.32558139534884
"ALPK1"	1.16279069767442
"ALS2CL"	0
"ALX1"	1.16279069767442
"AMDHD2"	1.16279069767442
"AMER3"	1.16279069767442
"AMHR2"	1.16279069767442
"AMIGO3"	0
"AMPH"	2.32558139534884
"AMT"	0
"AMTN"	1.16279069767442
"ANAPC10"	1.16279069767442
"ANAPC4"	0
"ANGPT1"	0
