"GeneA"	"GeneB"	"Connection"
"((16)-alpha-glucosyl)poly((14)-alpha-glucosyl)glycogenin-1_dimer_(complex)"	"((16)-alpha-glucosyl)poly((14)-alpha-glucosyl)glycogenin_dimer_(family)"	"member>"
"((16)-alpha-glucosyl)poly((14)-alpha-glucosyl)glycogenin-2_dimer_(complex)"	"((16)-alpha-glucosyl)poly((14)-alpha-glucosyl)glycogenin_dimer_(family)"	"member>"
"(alpha)_(alpha_prime)_(beta)2_CK2_(complex)"	"CK2_(family)"	"member>"
"(alpha)2_(beta)2CK2_(complex)"	"CK2_(family)"	"member>"
"(alpha_prime)2_(beta)2_CK2_(complex)"	"CK2_(family)"	"member>"
"(APC/C/Cdh1)-targeted_cell_cycle_proteins_(family)"	"cell_cycle_proteins/phospho-APC/C/Cdh1_complex_(complex)"	"component>"
"(Gi_alpha1/GTP/Adenylate_cyclase)/(G_alpha-olf/GTP)_(complex)"	"(Gi_alpha1/GDP/Adenylate_cyclase)/(G_alpha-olf/GDP)_(complex)"	"-a>"
"(Gi_alpha1/GTP/Adenylate_cyclase)/(G_alpha-olf/GTP)_(complex)"	"(Gi_alpha1/GTP/Adenylate_cyclase)/(G_alpha-olf/GDP)_(complex)"	"-a>"
"(Glc)1(Man)9(GlcNAc)2-MHC_class_I_heavy_chain_(complex)"	"Antigen_peptide_bound_class_I_MHC_(complex)"	"component>"
"(Glc)1(Man)9(GlcNAc)2-MHC_class_I_heavy_chain_(complex)"	"MHC_HC/B2M/Erp57_(complex)"	"component>"
"(Glc)1(Man)9(GlcNAc)2-MHC_class_I_heavy_chain_(complex)"	"monoglucosylated_MHC_class_I_HC/Calnexin/BiP_(complex)"	"component>"
"(Glc)1(Man)9(GlcNAc)2-MHC_class_I_heavy_chain_(complex)"	"Peptide_bound_class_I_MHC_(complex)"	"component>"
"YWHAQ"	"RAF1/BRAF/14-3-3/14-3-3_(complex)"	"component>"
"14-3-3/Forkhead_Transcription_Factors_(complex)"	"cell_survival_(abstract)"	"-a>"
"14-3-3_(dimer)_(complex)"	"KSR/14-3-3_(dimer)/MEK1-2_(complex)"	"component>"
"14-3-3_beta_zeta_(family)"	"p(S7)-Rap1_GTPase-activating_protein_2/14-3-3beta_zeta_(complex)"	"component>"
"14-3-3_family/BAD/CaM/Ca2+/Calcineurin_A_alpha-beta_B1_(complex)"	"CaM/Ca2+/Calcineurin_A_alpha-beta_B1_(complex)"	"component>"
